root,session_date,timestamp_first,timestamp_last,open,high,low,close,volume,source_label,source_path,tr,close_to_close_return_points,trendiness,signed_trendiness,prior_day_tr,atr20,range_ratio,state,state_next,range_ratio_bin
NQ,2023-04-26,2023-04-26 04:00:00+00:00,2023-04-27 03:59:00+00:00,12970.5,13012.25,12863.75,12952.5,716320,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,148.5,-17.75,0.12121212121212122,-0.12121212121212122,227.25,165.925,1.3695946963989754,expansion,neutral,gt_1_3
NQ,2023-04-27,2023-04-27 04:00:00+00:00,2023-04-28 03:59:00+00:00,12953.0,13333.0,12951.75,13201.25,730879,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,381.25,248.75,0.6511475409836066,0.6511475409836066,148.5,167.1125,0.8886229336524796,neutral,expansion,0_7_to_0_9
NQ,2023-04-28,2023-04-28 04:00:00+00:00,2023-04-28 20:59:00+00:00,13201.25,13336.0,13169.0,13325.75,632239,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,167.0,124.5,0.7455089820359282,0.7455089820359282,381.25,177.15,2.152130962461191,expansion,neutral,gt_1_3
NQ,2023-04-30,2023-04-30 22:00:00+00:00,2023-05-01 03:59:00+00:00,13317.0,13344.0,13296.25,13334.0,20056,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,47.75,8.25,0.35602094240837695,0.35602094240837695,167.0,174.0,0.9597701149425287,neutral,compression,0_9_to_1_1
NQ,2023-05-01,2023-05-01 04:00:00+00:00,2023-05-02 03:59:00+00:00,13334.5,13370.25,13258.75,13300.25,483569,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,111.5,-33.75,0.3071748878923767,-0.3071748878923767,47.75,164.5,0.29027355623100304,compression,compression,lt_0_7
NQ,2023-05-02,2023-05-02 04:00:00+00:00,2023-05-03 03:59:00+00:00,13300.0,13334.75,13110.25,13188.75,651728,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,224.5,-111.5,0.4955456570155902,-0.4955456570155902,111.5,166.5625,0.6694183864915573,compression,expansion,lt_0_7
NQ,2023-05-03,2023-05-03 04:00:00+00:00,2023-05-04 03:59:00+00:00,13188.25,13314.0,13044.25,13149.0,660503,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,269.75,-39.75,0.14550509731232622,-0.14550509731232622,224.5,174.175,1.2889335438495766,expansion,expansion,1_1_to_1_3
NQ,2023-05-04,2023-05-04 04:00:00+00:00,2023-05-05 03:59:00+00:00,13149.25,13173.0,13001.75,13111.0,637919,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,171.25,-38.0,0.22335766423357664,-0.22335766423357664,269.75,176.7125,1.5264907689042937,expansion,neutral,gt_1_3
NQ,2023-05-05,2023-05-05 04:00:00+00:00,2023-05-05 20:59:00+00:00,13111.0,13359.0,13076.25,13310.5,543479,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,282.75,199.5,0.7055702917771883,0.7055702917771883,171.25,177.5125,0.9647207943102599,neutral,expansion,0_9_to_1_1
NQ,2023-05-07,2023-05-07 22:00:00+00:00,2023-05-08 03:59:00+00:00,13316.0,13332.75,13294.25,13313.0,20708,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,38.5,2.5,0.07792207792207792,-0.07792207792207792,282.75,175.8375,1.6080187673277884,expansion,compression,gt_1_3
NQ,2023-05-08,2023-05-08 04:00:00+00:00,2023-05-09 03:59:00+00:00,13313.0,13368.0,13254.5,13340.75,492498,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,113.5,27.75,0.2444933920704846,0.2444933920704846,38.5,164.225,0.23443446491094536,compression,compression,lt_0_7
NQ,2023-05-09,2023-05-09 04:00:00+00:00,2023-05-10 03:59:00+00:00,13341.0,13347.0,13250.5,13271.5,550582,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,96.5,-69.25,0.7202072538860104,-0.7202072538860104,113.5,160.05,0.7091533895657607,compression,compression,0_7_to_0_9
NQ,2023-05-10,2023-05-10 04:00:00+00:00,2023-05-11 03:59:00+00:00,13271.75,13447.75,13202.75,13433.0,838595,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,245.0,161.5,0.6581632653061225,0.6581632653061225,96.5,162.8375,0.5926153373762186,compression,expansion,lt_0_7
NQ,2023-05-11,2023-05-11 04:00:00+00:00,2023-05-12 03:59:00+00:00,13433.75,13494.25,13361.5,13482.0,652878,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,132.75,49.0,0.3634651600753296,0.3634651600753296,245.0,168.025,1.458116351733373,expansion,compression,gt_1_3
